| Area                        | Control / Practice                                                                                       | Why it matters                                       | In place? (Y/N/Partial) | Notes / Action |
| --------------------------- | -------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- | ----------------------- | -------------- |
| **Auth**                    | Email + password with bcrypt hashing                                                                     | Core login path; bcrypt + salts is industry standard |                         |                |
| Auth                        | Email verification for new accounts                                                                      | Prevents fake/spam accounts, phishing                |                         |                |
| Auth                        | Apple Sign-In (for iOS)                                                                                  | Strong identity, reduces password surface            |                         |                |
| Auth                        | Session logout / revoke on password change                                                               | Cuts off stolen tokens quickly                       |                         |                |
| **Sessions & Tokens**       | JWTs with short expiry (≤7 days) & issuer/audience checks                                                | Reduces impact of stolen tokens                      |                         |                |
| Sessions & Tokens           | Store tokens in iOS Keychain (not AsyncStorage/localStorage)                                             | Prevents easy token theft on device                  |                         |                |
| Sessions & Tokens           | HTTP-only, `Secure`, `SameSite` cookies on web                                                           | Protects against XSS + CSRF for web flows            |                         |                |
| Sessions & Tokens           | Clear caches / in-memory data on login/logout                                                            | Prevents data leakage between users                  |                         |                |
| **Transport Security**      | HTTPS-only everywhere (no HTTP APIs)                                                                     | Baseline for any modern app                          |                         |                |
| Transport Security          | HSTS header enabled                                                                                      | Forces clients to use HTTPS                          |                         |                |
| Transport Security          | TLS 1.2+ (prefer 1.3), old protocols disabled                                                            | Blocks weak crypto                                   |                         |                |
| Transport Security          | Automatic certificate renewal                                                                            | Avoids downtime / accidental plain HTTP              |                         |                |
| **Data at Rest**            | Database encryption at rest (cloud-managed is fine)                                                      | Protects data if disks/snapshots are accessed        |                         |                |
| Data at Rest                | Object/file storage encryption at rest                                                                   | Same as above for reports/files                      |                         |                |
| Data at Rest                | Secrets stored in secret manager (not in code)                                                           | Protects API keys, JWT secrets                       |                         |                |
| Data at Rest                | Plan for key rotation (JWT, encryption keys)                                                             | Limits blast radius of key leaks                     |                         |                |
| **Access Control**          | RBAC for admin vs normal users                                                                           | Ensures admin-only functions are locked down         |                         |                |
| Access Control              | Object-level checks (only owner or permitted roles can access a record)                                  | Prevents IDOR-style data leakage                     |                         |                |
| Access Control              | Separate admin UI / endpoints with extra scrutiny                                                        | Reduces risk of mass data exposure                   |                         |                |
| **Abuse Protection**        | Rate limiting on login, signup, password reset                                                           | Throttles brute-force attacks                        |                         |                |
| Abuse Protection            | Rate limiting on expensive endpoints (AI, PDF upload, etc.)                                              | Prevents abuse, cost explosions                      |                         |                |
| Abuse Protection            | Temporary lock or challenge after repeated failed logins                                                 | Slows credential stuffing                            |                         |                |
| **Web/API Hardening**       | CSRF protection for cookie-based web flows                                                               | Stops cross-site request forgery                     |                         |                |
| Web/API Hardening           | CORS allowlist (only your domains)                                                                       | Prevents random websites calling your APIs           |                         |                |
| Web/API Hardening           | Basic security headers: `X-Content-Type-Options`, `X-Frame-Options`/`frame-ancestors`, `Referrer-Policy` | Reduces browser-level attack surface                 |                         |                |
| Web/API Hardening           | Avoid exposing internal IDs or debug info in errors                                                      | Prevents info leakage                                |                         |                |
| **Input & Data Validation** | Zod or similar schema validation on all external inputs                                                  | Avoids malformed data & injection vectors            |                         |                |
| Input & Data Validation     | Strict validation on biomarker values (range, units)                                                     | Prevents garbage in health models                    |                         |                |
| Input & Data Validation     | Strict validation for file uploads (type, size)                                                          | Prevents malicious file uploads                      |                         |                |
| **Passwords & Keys**        | Password reset tokens single-use & short-lived                                                           | Limits reset link abuse                              |                         |                |
| Passwords & Keys            | API keys for Shortcuts hashed or strongly stored                                                         | Protects automation hooks                            |                         |                |
| **Monitoring & Logs**       | Centralised logging of auth events (logins, failures, password changes)                                  | Detects suspicious behaviour                         |                         |                |
| Monitoring & Logs           | Log admin & data export/share actions                                                                    | Supports forensic analysis if needed                 |                         |                |
| Monitoring & Logs           | Ensure logs never contain passwords, tokens, full lab PDFs                                               | Avoids leaking secrets                               |                         |                |
| **Backups & Recovery**      | Automated, encrypted DB backups                                                                          | Disaster recovery                                    |                         |                |
| Backups & Recovery          | Restore test performed (even in staging)                                                                 | Confirms backups actually work                       |                         |                |
| **Data Lifecycle**          | Clear account deletion flow (delete or anonymise PII & health data)                                      | Meets privacy expectations & regulations             |                         |                |
| Data Lifecycle              | Defined retention periods for logs and health data                                                       | Avoids hoarding sensitive data forever               |                         |                |
| **AI / LLM Handling**       | Ensure provider doesn’t train on your data (or opt-out set)                                              | Protects user health data from model training        |                         |                |
| AI / LLM Handling           | Strict per-user isolation in RAG/indexes (namespace or user_id filter)                                   | Prevents cross-user data bleed via AI                |                         |                |
| AI / LLM Handling           | System prompts prevent the model from accessing or revealing other users' data                           | Defence against prompt injection                     |                         |                |
| **DevSecOps**               | No secrets committed to repo (.env in gitignored, etc.)                                                  | Prevents obvious leaks                               |                         |                |
| DevSecOps                   | Automated dependency updates & vulnerability scanning                                                    | Reduces risk from old libraries                      |                         |                |
| DevSecOps                   | Basic CI checks (lint, tests, typecheck) on every merge                                                  | Stability & indirect security benefit                |                         |                |
