Table 1
1. Overview,,,,
"Module: Experiment Configuration Engine Goal: To automatically configure the tracked metrics, baseline duration, and success criteria for an experiment based on the specific supplement identified. User Value: ""Zero-config"" setup. The user scans a bottle, and the app instantly knows that Magnesium requires tracking Deep Sleep, whereas Creatine requires tracking Weight and Active Energy.",,,,
,,,,
API for Supplement information: https://dsld.od.nih.gov/,,,,
2. The Configuration Matrix (10 Common Supplements),,,,
"This table defines the ""Smart Defaults"" your backend will apply. It uses the exact field names from your schema.",,,,
,,,,
Supplement,Protocol Type,Primary Metrics (Success Indicators),Secondary Metrics (Safety/Correlations),Relevant Blood/CGM
1. Magnesium (Glycinate/Citrate),Acute/Daily (Fast acting),"Sleep Quality: deepMinutes, sleepEfficiency, totalMinutesAsleep","Recovery: avgHrv, avgRespiratoryRate",Blood: Serum Magnesium
2. Creatine Monohydrate,Chronic (Requires Loading),"Performance: activeEnergyKcal, leanBodyMassKg (if avail)","Hydration/Mass: weightKg (Expect increase), dietaryWater","Blood: Creatinine, BUN"
3. Ashwagandha,Chronic (2-4 weeks),"Stress Response: hrvMs, avgHrv (Night), restingHrBpm","Sleep: sleepEfficiency, wakeAt (Latency)","Blood: Cortisol, Thyroid Panel"
4. Melatonin,Acute (Immediate),"Onset Latency: (asleepAt - inBedAt), totalMinutesAsleep","Sleep Architecture: remMinutes, deepMinutes",N/A
5. Omega-3 (Fish Oil),Chronic (Long term),"Cardio Health: hrvMs, restingHrBpm","Vitals: systolicMmHg, diastolicMmHg","Blood: Omega-3 Index, HS-CRP"
6. Vitamin D3,Chronic (Very Slow),"Energy/Mood: activeEnergyKcal, sleepEfficiency","Activity: stepsNormalized, flightsClimbed",Blood: 25-OH Vitamin D
7. Caffeine (or Pre-workout),Acute (Event based),"Stimulation: hrvMs (Watch for drops), restingHrBpm (Watch for spikes)","Sleep Negative: sleepEfficiency, deepMinutes",N/A
8. Fiber / Psyllium,Chronic (Daily),Metabolic: bloodGlucoseMgDl (CGM - Look for stability),"Weight: weightKg, waistCircumference","Blood: HbA1c, Lipids"
9. Iron,Chronic (Slow),"Fatigue/Capacity: vo2Max, activeEnergyKcal","Vitals: restingHrBpm, walkingHrBpm","Blood: Ferritin, Hemoglobin"
10. L-Theanine,Acute (Fast),"Relaxation: hrvMs (Acute rise), avgRespiratoryRate",Focus (Subjective): Correlate w/ exerciseMinutes,N/A
11. Probiotics(Lactobacillus/Bifido),"Chronic (Daily, 14+ days)","Gut-Brain Axis: hrvMs(Inflammation proxy), sleepEfficiency","Digestion: dietaryWater(Hydration), Subjective ""Bloating"" Score",Blood: HS-CRP (Inflammation)
12. Turmeric / Curcumin,Chronic(Daily),"Recovery/Pain:activeEnergyKcal (Pain often limits movement), hrvMs","Sleep: restlessness (Pain disrupts sleep), deepMinutes","Blood: ESR, CRP"
13. CoQ10(Ubiquinol),Chronic (Slow build),"Cardio Capacity: vo2Max, cardioRecovery (HR drop post-workout)","Energy:appleExerciseTime, flightsClimbed","Blood: Lipid Panel, CoQ10 levels"
14. Vitamin B12(Methylcobalamin),Chronic(Daily),"Nervous System:restingHrBpm (Anemia causes rise), hrvMs","Cognitive: Subjective ""Brain Fog"", standHours(Fatigue proxy)","Blood: Serum B12, Homocysteine"
15. Collagen Peptides,Chronic (Long term 30d+),"Joint Stability:walkingSteadiness (iOS 15+), walkingAsymmetryPct","Activity: stepCount, walkingSpeed",Blood: None standard (Subjective skin/joint pain)
16. Zinc,Acute(Immune) or Chronic(Hormonal),"Immune Resilience:restingHrBpm (Spikes = fighting bug), respiratoryRate",Sleep: sleepEfficiency(Zinc aids sleep onset),"Blood: Plasma Zinc, Testosterone (Men)"
17. Lion's Mane(Mushroom),Chronic(Nootropic),"Focus/REM: remMinutes(Dream recall), mindfulMinutes (Focus proxy)","Stress: hrvMs, Subjective ""Clarity""","Blood: BDNF (Rarely tested), Cortisol"
18. Glucosamine / Chondroitin,Chronic (Very Slow 30-60d),"Mobility:walkingStepLength, doubleSupportPct (Limping indicator)","Volume:distanceWalkingRunning, flightsClimbed",Blood: HS-CRP
19. Vitamin C,Acute(Immune),"Stress Response: hrvMs(Acute stress resilience), restingHrBpm",Recovery:cardioRecovery,Blood: Serum Ascorbate
20. Beetroot / Nitrates,Acute(Performance),"Blood Flow: vo2Max, restingHrBpm (Vasodilation lowers BP/HR)","Work Capacity:activeEnergyKcal, appleExerciseTime",Blood: BP (Systolic/Diastolic)
3. Baseline & Data Logic,,,,
3.1 Baseline Calculation Rules,,,,
